id,root,position
giczxmj,giczxmj,0
gid2kuc,giczxmj,1
gienq2o,giczxmj,2
gif2rhq,giczxmj,3
gigro5l,giczxmj,4
gih44tu,giczxmj,5
gih4avc,giczxmj,6
giil8pc,giczxmj,7
giioyrg,giczxmj,8
gicvlxd,gicvlxd,0
gif41rh,gicvlxd,1
gif5o6i,gicvlxd,2
gicrtlj,gicrtlj,0
gid1ku8,gicrtlj,1
gieanpv,gicrtlj,2
giex4q7,gicrtlj,3
gicksb4,gicksb4,0
gicn1hh,gicksb4,1
gicnvyp,gicksb4,2
gicrns6,gicksb4,3
gicum7n,gicksb4,4
gicwzck,gicksb4,5
gidju3l,gicksb4,6
ginqep5,ginqep5,0
gioq977,ginqep5,1
gip0dzk,ginqep5,2
gics9qj,gics9qj,0
gid4572,gics9qj,1
gid4rcj,gics9qj,2
giefti8,giefti8,0
giegt9i,giefti8,1
gieh0k5,giefti8,2
giog15b,giog15b,0
giqw880,giog15b,1
girfp37,giog15b,2
gis2wr1,giog15b,3
gis7tep,giog15b,4
giifnij,giifnij,0
gijer3n,giifnij,1
gijgusc,giifnij,2
gijh0in,giifnij,3
gicpnvp,gicpnvp,0
gicty15,gicpnvp,1
gicuwsp,gicpnvp,2
gicwcgw,gicpnvp,3
gicm3gq,gicm3gq,0
gigzuj0,gicm3gq,1
gik9sf5,gicm3gq,2
gicj8zx,gicj8zx,0
giclp7u,gicj8zx,1
gicms5x,gicj8zx,2
gics8zv,gicj8zx,3
gid8lcb,gicj8zx,4
gj5xvra,gj5xvra,0
gk23ss7,gj5xvra,1
gk28d80,gj5xvra,2
gk2abjq,gj5xvra,3
gifp4tf,gifp4tf,0
gifv036,gifp4tf,1
gifv34w,gifp4tf,2
gifvote,gifp4tf,3
gicobgw,gicobgw,0
gida1s7,gicobgw,1
gidaoz0,gicobgw,2
gie3z2z,gicobgw,3
giff3c7,gicobgw,4
gifmbld,gicobgw,5
giga8w4,gicobgw,6
giepmhd,giepmhd,0
giepuo2,giepmhd,1
gieqqat,giepmhd,2
gideekh,gideekh,0
gidq11u,gideekh,1
gidqyfl,gideekh,2
gijboex,gijboex,0
gijrviq,gijboex,1
gik3ngi,gijboex,2
gid6z61,gid6z61,0
giejufu,gid6z61,1
gijxjkj,gid6z61,2
gil99cn,gid6z61,3
gilolav,gid6z61,4
git99ab,gid6z61,5
giu580t,gid6z61,6
giu63nr,gid6z61,7
giu6i0t,gid6z61,8
giu7pvc,gid6z61,9
gickvfg,gickvfg,0
gie6k6d,gickvfg,1
gii8h1f,gickvfg,2
giidnl9,gickvfg,3
giif1pe,gickvfg,4
giife1b,gickvfg,5
giifm22,gickvfg,6
giifuei,gickvfg,7
giig4tr,gickvfg,8
giihew7,gickvfg,9
gicite3,gicite3,0
gicmldm,gicite3,1
gicoi70,gicite3,2
gicrbo4,gicrbo4,0
gicrw9q,gicrbo4,1
giead98,gicrbo4,2
gicj2wa,gicj2wa,0
gicsg43,gicj2wa,1
gictm5w,gicj2wa,2
gicw9nt,gicj2wa,3
gid29b1,gicj2wa,4
gidaj72,gicj2wa,5
gidk5lm,gicj2wa,6
gidmevu,gicj2wa,7
giejuby,gicj2wa,8
gif4zcy,gicj2wa,9
gid3rr5,gid3rr5,0
gigxyg9,gid3rr5,1
giiqi46,gid3rr5,2
gihbrq4,gihbrq4,0
gihhdi9,gihbrq4,1
gihkd1f,gihbrq4,2
gihte8o,gihbrq4,3
gicm9fv,gicm9fv,0
